name, ra,  dec,
S558 , 251.7974 , 24.2032 ,
S559 , 251.978 , 24.2047 ,
S560 , 252.7042 , 24.9161 ,
S561 , 252.5686 , 24.672 ,
S562 , 253.0279 , 24.511 ,
S563 , 252.933 , 24.1135 ,
S564 , 253.372 , 24.7408 ,
S565 , 254.0235 , 24.2424 ,
S566 , 254.3124 , 23.9767 ,
S567 , 255.5886 , 38.77 ,
S568 , 255.543 , 38.4156 ,
S569 , 255.8165 , 39.125 ,
S570 , 255.0352 , 38.4829 ,
S571 , 253.9478 , 39.279 ,
S572 , 253.7064 , 39.2854 ,
S573 , 253.5249 , 40.3098 ,
S574 , 255.2343 , 40.196 ,
S575 , 255.236 , 40.0636 ,
S576 , 255.2204 , 39.9494 ,
S577 , 255.191 , 41.0253 ,
S578 , 262.3797 , 26.8279 ,
S579 , 261.9314 , 26.3459 ,
S580 , 262.0168 , 26.7006 ,
S581 , 261.8101 , 26.5133 ,
S582 , 261.8408 , 26.8778 ,
S583 , 261.2405 , 26.1726 ,
S584 , 261.2515 , 26.3477 ,
S585 , 261.5865 , 26.626 ,
S586 , 260.9381 , 26.7454 ,
S587 , 260.8845 , 25.8072 ,
S588 , 260.6446 , 25.9753 ,
S589 , 260.6992 , 25.9819 ,
S590 , 260.1033 , 26.1179 ,
S591 , 259.6083 , 26.7938 ,
S592 , 259.8527 , 27.5794 ,
S593 , 259.7922 , 27.5815 ,
S594 , 259.6057 , 27.0539 ,
S595 , 260.0162 , 26.9726 ,
S596 , 259.9635 , 27.22 ,
S597 , 261.5887 , 27.7219 ,
S598 , 262.4375 , 27.8857 ,
S599 , 267.7167 , 24.7206 ,
S600 , 267.6042 , 24.7955 ,
S601 , 267.8063 , 25.1982 ,
S602 , 267.9278 , 24.8887 ,
S603 , 268.0196 , 25.2268 ,
S604 , 267.0768 , 24.5592 ,
S605 , 267.7289 , 25.1248 ,
S606 , 267.0256 , 24.5611 ,
S607 , 266.9225 , 25.3625 ,
S608 , 265.6959 , 24.9288 ,
S609 , 265.9829 , 24.5354 ,
S610 , 266.0209 , 24.7775 ,
S611 , 265.5531 , 24.9323 ,
S612 , 265.1482 , 25.1909 ,
S613 , 264.9867 , 25.4053 ,
S614 , 266.1409 , 25.6578 ,
S615 , 265.9497 , 25.4922 ,
S616 , 266.5741 , 26.4233 ,
S617 , 266.5821 , 26.1172 ,
S618 , 267.63 , 25.5427 ,
S619 , 267.8014 , 25.6856 ,
S620 , 272.647 , 22.9523 ,
S621 , 273.1211 , 23.265 ,
S622 , 272.2718 , 23.0143 ,
S623 , 272.5457 , 22.8977 ,
S624 , 272.2239 , 23.0191 ,
S625 , 272.3522 , 23.1989 ,
S626 , 272.506 , 23.0986 ,
S627 , 271.9872 , 23.415 ,
S628 , 271.9742 , 23.4343 ,
S629 , 272.0778 , 23.4786 ,
S630 , 272.0324 , 23.3892 ,
S631 , 271.2792 , 23.4501 ,
S632 , 270.9572 , 23.0214 ,
S633 , 271.225 , 22.9837 ,
S634 , 270.5585 , 23.084 ,
S635 , 270.0868 , 23.6707 ,
S636 , 270.1985 , 23.6575 ,
S637 , 271.025 , 24.7835 ,
S638 , 271.0796 , 24.4511 ,
S639 , 270.9218 , 24.395 ,
S640 , 271.5035 , 24.8025 ,
S641 , 271.0824 , 24.1012 ,
S642 , 271.95 , 24.1 ,
S643 , 271.8511 , 24.7844 ,
S644 , 272.1231 , 24.7859 ,
S645 , 272.1984 , 24.7011 ,
S646 , 272.3366 , 24.5593 ,
S647 , 272.4825 , 23.7117 ,
S648 , 243.5631 , 51.4432 ,
S649 , 244.237 , 51.9463 ,
S650 , 243.4694 , 52.8511 ,
S651 , 243.4958 , 52.7537 ,
S652 , 244.4683 , 15.5619 ,
S653 , 243.5313 , 16.1237 ,
S654 , 243.5517 , 16.741 ,
S655 , 243.8748 , 17.4111 ,
S656 , 254.4635 , 23.6104 ,
S657 , 253.017 , 23.2546 ,
S658 , 252.3116 , 23.9861 ,
S659 , 260.6132 , 25.9838 ,
S660 , 260.804 , 27.1321 ,
S661 , 272.6667 , 22.6418 ,
S662 , 306.9208 , 14.1179 ,
S663 , 310.5121 , 14.4594 ,
S664 , 310.7408 , 14.6071 ,
S665 , 309.7531 , 14.363 ,
S666 , 308.4791 , 13.6019 ,
S667 , 308.4801 , 14.1749 ,
S668 , 308.141 , 13.919 ,
S669 , 308.7117 , 15.6031 ,
S670 , 310.0408 , 15.6448 ,
S671 , 312.4263 , 14.7536 ,
S672 , 312.4147 , 15.0016 ,
S673 , 312.3297 , 15.2132 ,
S674 , 312.2104 , 15.5258 ,
