name, ra,  dec,
S500 , 240.9328 , 4.5122 , 22.58 ,
S501 , 240.5424 , 4.901 , 8.88 ,
S502 , 240.4599 , 5.4056 , 23.0 ,
S503 , 240.7521 , 4.5353 , 25.5 ,
S504 , 239.999 , 5.7646 , 12.44 ,
S505 , 240.2558 , 5.9527 , 16.14 ,
S506 , 241.3308 , 6.8158 , 6.41 ,
S507 , 241.3465 , 6.2824 , 9.42 ,
S508 , 242.0825 , 6.0778 , 13.95 ,
S509 , 244.5205 , 51.6601 , 9.43 ,
S510 , 244.0023 , 51.243 , 28.69 ,
S511 , 244.4918 , 51.9067 , 8.42 ,
S512 , 244.6308 , 52.3985 , 6.91 ,
S513 , 243.5621 , 51.7731 , 13.79 ,
S514 , 241.7479 , 52.1127 , 18.16 ,
S515 , 241.9434 , 51.8727 , 12.48 ,
S516 , 241.5721 , 52.1973 , 10.81 ,
S517 , 242.0085 , 51.3009 , 20.56 ,
S518 , 241.1394 , 52.1047 , 18.45 ,
S519 , 240.5061 , 53.1491 , 23.63 ,
S520 , 240.7266 , 52.7148 , 14.31 ,
S521 , 242.2693 , 53.7542 , 24.96 ,
S522 , 242.3306 , 53.6198 , 15.08 ,
S523 , 243.1367 , 52.7329 , 13.39 ,
S524 , 244.9331 , 16.5197 , 11.49 ,
S525 , 244.7808 , 16.4739 , 26.63 ,
S526 , 243.7927 , 16.3328 , 7.65 ,
S527 , 243.3808 , 15.6565 , 7.81 ,
S528 , 243.3525 , 15.8106 , 13.69 ,
S529 , 242.519 , 17.3091 , 12.05 ,
S530 , 242.8481 , 17.2392 , 9.39 ,
S531 , 243.0806 , 16.823 , 10.33 ,
S532 , 243.793 , 17.6951 , 12.81 ,
S533 , 243.6161 , 17.2114 , 13.41 ,
S534 , 244.8011 , 17.1726 , 12.02 ,
S535 , 244.7129 , 16.8176 , 10.01 ,
S536 , 243.1432 , 2.9403 , 11.47 ,
S537 , 242.6877 , 2.8868 , 16.6 ,
S538 , 242.6709 , 2.8763 , 10.37 ,
S539 , 242.1886 , 3.7355 , 9.73 ,
